"ING_SEQ","ING_NM","VEGE_CLASS_SEQ","EMISSIONS"
"3500116","고운고춧가루","6","0.50"
"3500117","고추기름","6","0.50"
"3500118","고추장","6","0.50"
"3500119","고춧가루","6","0.50"
"3500120","곤드레나물","6","0.50"
"3500121","곤약","6","0.50"
"3500122","곤약국수","6","0.50"
"3500123","골파","6","0.50"
"3500124","곰취","6","0.50"
"3500125","그린올리브","6","0.50"
"3500126","근대","6","0.50"
"3500127","깐연근","6","0.50"
"3500128","깻잎","6","0.50"
"3500129","꽈리고추","6","0.50"
"3500130","냉이","6","0.50"
"3500131","노각","6","0.50"
"3500132","노란 파프리카","6","0.50"
"3500133","노란색파프리카","6","0.50"
"3500134","노랑 파프리카","6","0.50"
"3500135","노랑파프리카","6","0.50"
"3500136","녹차가루","6","0.50"
"3500137","녹차티백","6","0.50"
"3500138","다진 청양고추","6","0.50"
"3500139","다진 청피망","6","0.50"
"3500140","다진 파슬리","6","0.50"
"3500141","다진 홍고추","6","0.50"
"3500142","다진 홍피망","6","0.50"
"3500143","다진빨강파프리카","6","0.50"
"3500144","다진오이피클","6","0.50"
"3500145","다진청고추","6","0.50"
"3500146","다진청양고추","6","0.50"
"3500147","다진호박","6","0.50"
"3500148","다진홍고추","6","0.50"
"3500149","단호박","6","0.50"
"3500150","단호박가루","6","0.50"
"3500151","달래","6","0.50"
"3500152","당귀","6","0.50"
"3500153","데쳐서 다진 취나물","6","0.50"
"3500154","데친 미나리","6","0.50"
"3500155","데친 취나물","6","0.50"
"3500156","돈나물","6","0.50"
"3500157","돌나물","6","0.50"
"3500158","돌미나리","6","0.50"
"3500159","돼지호박","6","0.50"
"3500160","돼지호박갈은것","6","0.50"
"3500161","두릅","6","0.50"
"3500162","들기름","6","0.50"
"3500163","들깨가루","6","0.50"
"3500164","들깻가루","6","0.50"
"3500165","땅콩호박","6","0.50"
"3500166","레드치커리","6","0.50"
"3500167","로메인","6","0.50"
"3500168","로메인상추","6","0.50"
"3500169","로즈마리","6","0.50"
"3500170","로즈마리다진것","6","0.50"
"3500171","마","6","0.50"
"3500172","마른 고추","6","0.50"
"3500173","마른 홍고추","6","0.50"
"3500174","마른고추","6","0.50"
"3500175","마른홍고추","6","0.50"
"3500176","메밀면","6","0.50"
"3500177","멕시코고추","6","0.50"
"3500178","미나리","6","0.50"
"3500179","미니파프리카","6","0.50"
"3500180","민들레","6","0.50"
"3500181","민들레 잎","6","0.50"
"3500182","민들레잎","6","0.50"
"3500183","민트","6","0.50"
"3500184","바질","6","0.50"
"3500185","바질가루","6","0.50"
"3500186","백년초가루","6","0.50"
"3500187","백년초국수","6","0.50"
"3500188","베이비채소","6","0.50"
"3500189","보라로즈케일","6","0.50"
"3500190","복분자가루","6","0.50"
"3500191","불린 곤드레나물","6","0.50"
"3500192","붉은 고추","6","0.50"
"3500193","붉은 파프리카","6","0.50"
"3500194","붉은고추","6","0.50"
"3500195","붉은피망","6","0.50"
"3500196","블랙올리브","6","0.50"
"3500197","비름나물","6","0.50"
"3500198","빨간 파프리카","6","0.50"
"3500199","빨강 파프리카","6","0.50"
"3500200","빨강파프리카","6","0.50"
"3500201","뽕잎가루","6","0.50"
"3500202","뽕잎국수","6","0.50"
"3500203","산마","6","0.50"
"3500204","삶은 죽순","6","0.50"
"3500205","삼색파프리카","6","0.50"
"3500206","상추","6","0.50"
"3500207","상추/로메인","6","0.50"
"3500208","새싹","6","0.50"
"3500209","새싹채소","6","0.50"
"3500210","샐러드채소","6","0.50"
"3500211","샐러리","6","0.50"
"3500212","샐러리 채친것","6","0.50"
"3500213","샐러리다진것","6","0.50"
"3500214","세발나물","6","0.50"
"3500215","셀러리","6","0.50"
"3500216","셀러리다진것","6","0.50"
"3500217","송송 썬 붉은 고추","6","0.50"
"3500218","송송 썬 청양고추","6","0.50"
"3500219","수삼","6","0.50"
"3500220","숙주","6","0.50"
"3500221","숙주나물","6","0.50"
"3500222","스테비아","6","0.50"
"3500223","시금치","6","0.50"
"3500224","시금치가루","6","0.50"
"3500225","시금치데친것","6","0.50"
"3500226","식용 꽃","6","0.50"
"3500227","식용꽃","6","0.50"
"3500228","신선초","6","0.50"
"3500229","실고추","6","0.50"
"3500230","실곤약","6","0.50"
"3500231","쑥","6","0.50"
"3500232","쑥가루","6","0.50"
"3500233","쑥갓","6","0.50"
"3500234","아스파라거스","6","0.50"
"3500235","아욱","6","0.50"
"3500236","애호박","6","0.50"
"3500237","양상추","6","0.50"
"3500238","어린잎","6","0.50"
"3500239","어린잎채소","6","0.50"
"3500240","어슷 썬 풋고추","6","0.50"
"3500241","연근","6","0.50"
"3500242","오가피","6","0.50"
"3500243","오레가노","6","0.50"
"3500244","오이","6","0.50"
"3500245","오이고추","6","0.50"
"3500246","오이피클","6","0.50"
"3500247","올리브","6","0.50"
"3500248","우엉","6","0.50"
"3500249","워터크래스","6","0.50"
"3500250","월계수잎","6","0.50"
"3500251","월계수잎마른것","6","0.50"
"3500252","잎채소","6","0.50"
"3500253","저염고추장","6","0.50"
"3500254","주키니호박","6","0.50"
"3500255","주황 파프리카","6","0.50"
"3500256","주황파프리카","6","0.50"
"3500257","죽순","6","0.50"
"3500258","쥬키니호박","6","0.50"
"3500259","참나물","6","0.50"
"3500260","참마","6","0.50"
"3500261","참취","6","0.50"
"3500262","청 파프리카","6","0.50"
"3500263","청고추","6","0.50"
"3500264","청고추다진것","6","0.50"
"3500265","청양고추","6","0.50"
"3500266","청파프리카","6","0.50"
"3500267","청피망","6","0.50"
"3500268","청홍고추","6","0.50"
"3500269","취나물","6","0.50"
"3500270","치자","6","0.50"
"3500271","치커리","6","0.50"
"3500272","카엔페퍼","6","0.50"
"3500273","케일","6","0.50"
"3500274","콩나물","6","0.50"
"3500275","타임","6","0.50"
"3500276","타임다진것","6","0.50"
"3500277","타임마른것","6","0.50"
"3500278","토란대","6","0.50"
"3500279","톳","6","0.50"
"3500280","통깨","6","0.50"
"3500281","통후추","6","0.50"
"3500282","파슬리","6","0.50"
"3500283","파슬리가루","6","0.50"
"3500284","파슬리다진것","6","0.50"
"3500285","파인애플","6","0.50"
"3500286","파인애플즙","6","0.50"
"3500287","파프리카","6","0.50"
"3500288","파프리카(빨간색/노란색)","6","0.50"
"3500289","파프리카가루","6","0.50"
"3500290","포항초","6","0.50"
"3500291","풋고추","6","0.50"
"3500292","피망","6","0.50"
"3500293","피클","6","0.50"
"3500294","할라피뇨","6","0.50"
"3500295","할라피뇨다진것","6","0.50"
"3500296","함초","6","0.50"
"3500297","함초가루","6","0.50"
"3500298","허브","6","0.50"
"3500299","호박","6","0.50"
"3500300","홍고추","6","0.50"
"3500301","홍파프리카","6","0.50"
"3500302","홍피망","6","0.50"
"3500303","홍피망다진것","6","0.50"
"3500304","황파프리카","6","0.50"
"3500305","후추","6","0.50"
"3500306","후춧가루","6","0.50"
"3500307","흰로즈케일","6","0.50"
"3500308","흰후추","6","0.50"
"3500309","흰후춧가루","6","0.50"
"3500310","송화가루","6","0.50"
"3500320","토란","6","0.50"
"3600101","겨울배추","6","0.40"
"3600102","겨자","6","0.40"
"3600103","겨자가루","6","0.40"
"3600104","겨자분말","6","0.40"
"3600105","김치","6","0.40"
"3600106","단배추","6","0.40"
"3600107","라디치오","6","0.40"
"3600108","래디쉬","6","0.40"
"3600109","머스타드","6","0.40"
"3600110","머스타드 파우더","6","0.40"
"3600111","머스터드","6","0.40"
"3600112","묵은지","6","0.40"
"3600113","미니양배추","6","0.40"
"3600114","발효겨자","6","0.40"
"3600115","방울양배추","6","0.40"
"3600116","배추","6","0.40"
"3600117","배추김치","6","0.40"
"3600118","배추잎","6","0.40"
"3600119","배춧잎","6","0.40"
"3600120","백김치","6","0.40"
"3600121","봄동","6","0.40"
"3600122","브러컬리","6","0.40"
"3600123","브로컬리","6","0.40"
"3600124","브로콜리","6","0.40"
"3600125","순무","6","0.40"
"3600126","순무의 어린잎","6","0.40"
"3600127","알배추","6","0.40"
"3600128","양배추","6","0.40"
"3600129","양상추","6","0.40"
"3600130","얼갈이배추","6","0.40"
"3600131","엔다이브","6","0.40"
"3600132","연겨자","6","0.40"
"3600133","와사비","6","0.40"
"3600134","우거지","6","0.40"
"3600135","유채","6","0.40"
"3600136","익힌겨자","6","0.40"
"3600137","적양배추","6","0.40"
"3600138","청경채","6","0.40"
"3600139","컬리플라워","6","0.40"
"3600140","케일","6","0.40"
"3600141","콜라비","6","0.40"
"3600142","콜리플라워","6","0.40"
"3600143","홀머스터드","6","0.40"
"3700101","간 양파","6","0.30"
"3700102","다진 대파","6","0.30"
"3700103","다진 실파","6","0.30"
"3700104","다진 양파","6","0.30"
"3700105","다진 파","6","0.30"
"3700106","다진대파","6","0.30"
"3700107","다진양파","6","0.30"
"3700108","다진쪽파","6","0.30"
"3700109","다진파","6","0.30"
"3700110","달래","6","0.30"
"3700111","대파","6","0.30"
"3700112","대파 기름","6","0.30"
"3700113","대파뿌리","6","0.30"
"3700114","대파채친것","6","0.30"
"3700115","래디쉬","6","0.30"
"3700116","레드어니언","6","0.30"
"3700117","레디쉬","6","0.30"
"3700118","무순","6","0.30"
"3700119","반죽양념 다진 파","6","0.30"
"3700120","부추","6","0.30"
"3700121","샬롯","6","0.30"
"3700122","실파","6","0.30"
"3700123","양파","6","0.30"
"3700124","양파다진것","6","0.30"
"3700125","양파슬라이스","6","0.30"
"3700126","양파즙","6","0.30"
"3700127","양파채친것","6","0.30"
"3700128","어슷 썬 대파","6","0.30"
"3700129","영양부추","6","0.30"
"3700130","적양파","6","0.30"
"3700131","조선부추","6","0.30"
"3700132","쪽파","6","0.30"
"3700133","차이브","6","0.30"
"3700134","파","6","0.30"
"3700135","파 기름","6","0.30"
"3700136","파다진것","6","0.30"
"3700137","파뿌리","6","0.30"
"3700138","호부추","6","0.30"
"3800101","감자","6","0.30"
"3800102","감자전분","6","0.30"
"3800103","강황가루","6","0.30"
"3800104","고구마","6","0.30"
"3800105","고구마순","6","0.30"
"3800106","고구마칩","6","0.30"
"3800107","고추냉이","6","0.30"
"3800108","깍두기","6","0.30"
"3800109","다진 당근","6","0.30"
"3800110","다진 마늘","6","0.30"
"3800111","다진 생강","6","0.30"
"3800112","다진당근","6","0.30"
"3800113","다진마늘","6","0.30"
"3800114","다진생강","6","0.30"
"3800115","단무지","6","0.30"
"3800116","당근","6","0.30"
"3800117","당근 채친것","6","0.30"
"3800118","당근갈은것","6","0.30"
"3800119","당근다진것","6","0.30"
"3800120","당근주스","6","0.30"
"3800121","당근퓨레","6","0.30"
"3800122","당면","6","0.30"
"3800123","더덕","6","0.30"
"3800124","도라지","6","0.30"
"3800125","레디쉬","6","0.30"
"3800126","마","6","0.30"
"3800127","마늘","6","0.30"
"3800128","마늘기름","6","0.30"
"3800129","마늘다진것","6","0.30"
"3800130","마늘종","6","0.30"
"3800131","마늘즙","6","0.30"
"3800132","마늘쫑","6","0.30"
"3800133","마늘칩","6","0.30"
"3800134","무","6","0.30"
"3800135","무순","6","0.30"
"3800136","무청","6","0.30"
"3800137","밤고구마","6","0.30"
"3800138","불린 당면","6","0.30"
"3800139","불린 무말랭이","6","0.30"
"3800140","비트","6","0.30"
"3800141","비트절인물","6","0.30"
"3800142","산마","6","0.30"
"3800143","생강","6","0.30"
"3800144","생강가루","6","0.30"
"3800145","생강다진것","6","0.30"
"3800146","생강즙","6","0.30"
"3800147","생강청","6","0.30"
"3800148","수삼","6","0.30"
"3800149","쌈무","6","0.30"
"3800150","아욱","6","0.30"
"3800151","알마늘","6","0.30"
"3800152","알비트","6","0.30"
"3800153","야콘","6","0.30"
"3800154","연근","6","0.30"
"3800155","와사비","6","0.30"
"3800156","인삼","6","0.30"
"3800157","자색고구마","6","0.30"
"3800158","전분","6","0.30"
"3800159","통도라지","6","0.30"
"3800160","통마늘","6","0.30"
"3800161","풋마늘","6","0.30"
"3800162","하수오","6","0.30"
"3800163","호박고구마","6","0.30"
"3800164","홍삼진액","6","0.30"
"3800165","흑마늘","6","0.30"
"3800166","흑마늘액","6","0.30"
"3800167","야콘","6","0.30"
"3800168","감자튀김","6","0.30"
"3900101","곶감","6","0.30"
"3900102","굵게 다진 사과","6","0.30"
"3900103","귤","6","0.30"
"3900104","귤병","6","0.30"
"3900105","라임","6","0.30"
"3900106","라임주스","6","0.30"
"3900107","레드향","6","0.30"
"3900108","레몬","6","0.30"
"3900109","레몬(껍질)","6","0.30"
"3900110","레몬그라스","6","0.30"
"3900111","레몬제스트","6","0.30"
"3900112","레몬주수","6","0.30"
"3900113","레몬주스","6","0.30"
"3900114","레몬즙","6","0.30"
"3900115","사과","6","0.30"
"3900116","사과식초","6","0.30"
"3900117","사과쥬스","6","0.30"
"3900118","사과즙","6","0.30"
"3900119","오렌지","6","0.30"
"3900120","오렌지 껍질","6","0.30"
"3900121","오렌지껍질","6","0.30"
"3900122","오렌지주스","6","0.30"
"3900123","오렌지즙","6","0.30"
"3900124","자몽","6","0.30"
"3900125","진피","6","0.30"
"3900126","청귤","6","0.30"
"3900127","풋사과","6","0.30"
"3900128","한라봉","6","0.30"
"3900129","홍시","6","0.30"
"4000101","견과류","6","0.20"
"4000102","넛맥","6","0.20"
"4000103","다진 견과류","6","0.20"
"4000104","다진 잣","6","0.20"
"4000105","다진 호두","6","0.20"
"4000106","다진호두","6","0.20"
"4000107","도토리가루","6","0.20"
"4000108","땅콩다진것","6","0.20"
"4000109","밤","6","0.20"
"4000110","슬라이스아몬드","6","0.20"
